Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Location,Origin,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,CPI,Adm Level,Geo Locations
2000,Hydrological,Flood,Flash flood,"Bakalia, Kotwali, Chandgaon, Pahartali, Hathazari, Halishahar, Patiya, Satkania areas (Chittagong district, Chittagong province), Cox's Bazar district (Chittagong province)",Monsoonal rain,17000.0,Km2,2000,6.0,24.0,2000,6.0,24.0,11.0,50.0,200000.0,200050.0,58.8406484917497,2,"Chittagong, Cox's Bazar (Adm2)."
2000,Meteorological,Storm,,"Dhaka, Mymensingh, Tangail, Kishoreganj districts (Dhaka province), Chittagong, Cox's Bazar, Comilla, Chandpur districts (Chittagong province)",notgiven,70.0,Kph,2000,5.0,27.0,2000,6.0,19.0,36.0,notgiven,70000.0,71000.0,58.8406484917497,2,"Chandpur, Chittagong, Comilla, Cox's Bazar, Dhaka, Kishoreganj, Mymensingh, Tangail (Adm2)."
2000,Meteorological,Storm,Convective storm,Natore district (Rajshahi province),notgiven,notgiven,Kph,2000,3.0,5.0,2000,3.0,5.0,notgiven,50.0,notgiven,3050.0,58.8406484917497,2,Natore (Adm2).
2000,Meteorological,Storm,Convective storm,"Ullahpara area (Sirajganj district, Rajshahi province), Gaurnadi area (Barisal district, Barisal province)",notgiven,notgiven,Kph,2000,6.0,25.0,2000,6.0,25.0,notgiven,37.0,2500.0,2537.0,58.8406484917497,2,"Barisal, Sirajganj (Adm2)."
2000,Geophysical,Earthquake,Ground movement,"Maheshkhali area (Cox's Bazar district, Chittagong province)",notgiven,4.0,Richter,2000,1.0,2.0,2000,1.0,2.0,notgiven,notgiven,1000.0,1000.0,58.8406484917497,2,Cox's Bazar (Adm2).
2000,Hydrological,Flood,Coastal flood,"Hutiya, Companiganj areas (Noakhali district, Chittagong province), Maheskhali area (Cox's Bazar district, Chittagong province), Sandwip area (Chittagong district, Chittagong province)",notgiven,notgiven,Km2,2000,8.0,30.0,2000,8.0,30.0,1.0,10.0,notgiven,12010.0,58.8406484917497,2,"Chittagong, Cox's Bazar, Noakhali (Adm2)."
2000,Hydrological,Flood,Flash flood,"Gangni, Meherpur Sadar areas (Meherpur district, Khulna province), Daulatpur, Kushtia Sadar, Bheramara areas (Kushtia district, Khulna province), Jibannagar, Alamdanga, Cuadanda Sadar, Damurhuda areas (Chuadanga district, Khulna province), Maheshpur, Kotchandpur areas (Jhenaidah district, Khulna province), Paba, Godagari, Tanor, Mohanpur areas (Rajshahi district, Rajshahi province)",notgiven,162.0,Km2,2000,9.0,notgiven,2000,10.0,,31.0,notgiven,2467138.0,2467138.0,58.8406484917497,2,"Chuadanga, Jhenaidah, Kushtia, Meherpur, Rajshahi (Adm2)."
2000,Meteorological,Storm,Tropical cyclone,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",notgiven,120.0,Kph,2000,4.0,21.0,2000,4.0,21.0,20.0,300.0,notgiven,62800.0,58.8406484917497,2,"Netrakona, Rangpur (Adm2)."
2000,Meteorological,Storm,Tropical cyclone,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",notgiven,80.0,Kph,2000,4.0,11.0,2000,4.0,11.0,notgiven,12.0,notgiven,7012.0,58.8406484917497,2,"Maulvibazar, Netrakona (Adm2)."
2000,Meteorological,Storm,Tropical cyclone,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",notgiven,100.0,Kph,2000,10.0,28.0,2000,10.0,28.0,15.0,200.0,notgiven,200.0,58.8406484917497,2,"Barguna, Barisal, Bhola, Chandpur, Cox's Bazar, Dhaka, Jhalokati, Khulna, Lakshmipur, Mymensingh, Noakhali, Pirojpur, Shariatpur (Adm2)."
2000,Meteorological,Extreme temperature,Cold wave,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",notgiven,6.0,°C,2000,1.0,notgiven,2000,1.0,,49.0,notgiven,notgiven,notgiven,58.8406484917497,1,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet (Adm1)."
2000,Biological,Epidemic,Viral disease,"Dhaka, Chittagong, Rajshahi",notgiven,notgiven,Vaccinated,2000,7.0,notgiven,2000,7.0,,21.0,notgiven,522.0,522.0,58.8406484917497,,
2000,Biological,Epidemic,,Barisal,notgiven,notgiven,Vaccinated,2000,3.0,notgiven,2000,3.0,,notgiven,notgiven,3352.0,3352.0,58.8406484917497,,
2000,Meteorological,Storm,,Chittagong province,notgiven,notgiven,Kph,2000,5.0,23.0,2000,5.0,23.0,28.0,notgiven,notgiven,notgiven,58.8406484917497,1,Chittagong (Adm1).
